INFO  - 2017-12-05 01:28:03.755; org.apache.solr.spelling.suggest.SolrSuggester; build()
INFO  - 2017-12-05 01:28:03.759; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@3e93f758[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2017-12-05 01:31:47.601; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2017-12-05 01:31:47.602; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/home/cesar/Apps/solr-4.8.1/example/solr-webapp/webapp/},/home/cesar/Apps/solr-4.8.1/example/webapps/solr.war
INFO  - 2017-12-05 01:31:48.604; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=1866875501
INFO  - 2017-12-05 01:31:48.605; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@7fabb27d
INFO  - 2017-12-05 01:31:48.606; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0,transaction_logs_total_size=0,transaction_logs_total_number=0}
INFO  - 2017-12-05 01:31:48.606; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2017-12-05 01:31:48.607; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2017-12-05 01:31:48.607; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
